,epoch,train/eval,batch_size,loss,acc,correct,lr
0,0,train,32,4.44618034362793,,5,0.001
0,0,train,32,4.606520652770996,,4,0.001
0,0,train,32,4.725064754486084,,2,0.001
0,0,train,32,4.675917625427246,,1,0.001
0,0,train,32,4.732223987579346,,4,0.001
0,0,train,32,4.772534370422363,,2,0.001
0,0,train,32,4.6542158126831055,,4,0.001
0,0,train,32,5.094441890716553,,2,0.001
0,0,train,32,4.45527458190918,,2,0.001
0,0,train,32,4.39330530166626,,4,0.001
0,0,train,32,4.677538871765137,,2,0.001
0,0,train,32,4.772372722625732,,3,0.001
0,0,train,32,4.224907398223877,,5,0.001
0,0,train,32,5.005858421325684,,2,0.001
0,0,train,32,4.445948600769043,,1,0.001
0,0,train,32,4.443657875061035,,5,0.001
0,0,train,32,4.519873142242432,,2,0.001
0,0,train,32,4.638525009155273,,5,0.001
0,0,train,32,4.544658184051514,,3,0.001
0,0,train,32,4.569764614105225,,1,0.001
0,0,train,32,5.00337553024292,,2,0.001
0,0,train,32,4.719730854034424,,2,0.001
0,0,train,32,4.800731182098389,,2,0.001
0,0,train,32,4.331349849700928,,2,0.001
0,0,train,32,4.470978736877441,,2,0.001
0,0,train,32,4.803101539611816,,3,0.001
0,0,train,32,4.728781700134277,,3,0.001
0,0,train,32,4.194777488708496,,5,0.001
0,0,train,32,4.432253837585449,,5,0.001
0,0,train,32,4.441033363342285,,3,0.001
0,0,train,32,4.458897113800049,,3,0.001
0,0,train,32,4.473559379577637,,2,0.001
0,0,train,32,4.225700855255127,,5,0.001
0,0,train,32,4.763493537902832,,0,0.001
0,0,train,32,4.7355852127075195,,3,0.001
0,0,train,32,4.326425552368164,,5,0.001
0,0,train,32,4.314553737640381,,7,0.001
0,0,train,32,4.211690902709961,,4,0.001
0,0,train,32,4.436469554901123,,4,0.001
0,0,train,32,4.069246292114258,,7,0.001
0,0,train,32,4.453444957733154,,1,0.001
0,0,train,32,4.553167819976807,,4,0.001
0,0,train,32,4.211313247680664,,2,0.001
0,0,train,32,4.18441915512085,,5,0.001
0,0,train,32,4.310028076171875,,6,0.001
0,0,train,32,4.6938581466674805,,1,0.001
0,0,train,32,4.206505298614502,,5,0.001
0,0,train,32,4.34498405456543,,4,0.001
0,0,train,32,4.3917694091796875,,4,0.001
0,0,train,32,4.8243865966796875,,3,0.001
0,0,train,32,3.7952721118927,,4,0.001
0,0,train,32,4.361247539520264,,4,0.001
0,0,train,32,4.7662763595581055,,1,0.001
0,0,train,32,4.58909273147583,,4,0.001
0,0,train,32,4.554004192352295,,2,0.001
0,0,train,32,4.231846332550049,,5,0.001
0,0,train,32,4.324678421020508,,4,0.001
0,0,train,32,4.433704853057861,,3,0.001
0,0,train,32,4.371744155883789,,4,0.001
0,0,train,32,4.639166355133057,,1,0.001
0,0,train,32,4.740264892578125,,0,0.001
0,0,train,32,4.4478583335876465,,3,0.001
0,0,train,32,4.510187149047852,,1,0.001
0,0,train,32,4.052125453948975,,5,0.001
0,0,train,32,4.578649044036865,,5,0.001
0,0,train,32,4.020758628845215,,6,0.001
0,0,train,32,4.209197044372559,,4,0.001
0,0,train,32,4.885878562927246,,2,0.001
0,0,train,32,4.516183853149414,,2,0.001
0,0,train,32,4.891042709350586,,3,0.001
0,0,train,32,4.215582847595215,,6,0.001
0,0,train,32,4.386471271514893,,4,0.001
0,0,train,32,4.51519775390625,,4,0.001
0,0,train,32,4.032280445098877,,3,0.001
0,0,train,32,4.228238105773926,,5,0.001
0,0,train,32,4.3152265548706055,,4,0.001
0,0,train,32,4.277795791625977,,5,0.001
0,0,train,32,4.697897911071777,,4,0.001
0,0,train,32,3.987725019454956,,6,0.001
0,0,train,32,4.2998456954956055,,6,0.001
0,0,train,32,4.134538650512695,,4,0.001
0,0,train,32,4.33104133605957,,2,0.001
0,0,train,32,4.4753522872924805,,2,0.001
0,0,train,32,3.978938102722168,,3,0.001
0,0,train,32,4.185906410217285,,4,0.001
0,0,train,32,4.839630603790283,,3,0.001
0,0,train,32,4.06653356552124,,9,0.001
0,0,train,32,4.521721363067627,,3,0.001
0,0,train,32,4.519625663757324,,1,0.001
0,0,train,32,4.4169087409973145,,4,0.001
0,0,train,32,4.234518051147461,,6,0.001
0,0,train,32,4.574315071105957,,1,0.001
0,0,train,32,4.756500244140625,,5,0.001
0,0,train,32,4.347533226013184,,5,0.001
0,0,train,32,4.482253074645996,,3,0.001
0,0,train,32,4.510164260864258,,2,0.001
0,0,train,32,4.564014434814453,,4,0.001
0,0,train,32,4.185301780700684,,3,0.001
0,0,train,32,3.8801560401916504,,5,0.001
0,0,train,32,3.9405338764190674,,7,0.001
0,0,train,32,4.042788505554199,,2,0.001
0,0,train,32,4.655053615570068,,4,0.001
0,0,train,32,4.291326522827148,,3,0.001
0,0,train,32,4.941706657409668,,6,0.001
0,0,train,32,4.165279865264893,,6,0.001
0,0,train,32,3.9782047271728516,,7,0.001
0,0,train,32,4.793503761291504,,1,0.001
0,0,train,32,4.334808349609375,,2,0.001
0,0,train,32,4.25067663192749,,6,0.001
0,0,train,32,4.528474807739258,,3,0.001
0,0,train,32,4.4677324295043945,,5,0.001
0,0,train,32,4.479957580566406,,7,0.001
0,0,train,32,3.9855239391326904,,7,0.001
0,0,train,32,4.201245307922363,,7,0.001
0,0,train,5,4.495175361633301,,2,0.001
0,0,val,32,136.4874267578125,,4,
0,0,val,32,135.15484619140625,,6,
0,0,val,32,146.63275146484375,,4,
0,0,val,32,137.0445556640625,,4,
0,0,val,32,135.3394317626953,,4,
0,0,val,32,129.4728546142578,,3,
0,0,val,32,139.79212951660156,,3,
0,0,val,32,125.54122924804688,,5,
0,0,val,32,121.19547271728516,,6,
0,0,val,32,133.13368225097656,,4,
0,0,val,32,119.50703430175781,,8,
0,0,val,32,135.308349609375,,4,
0,0,val,32,143.82920837402344,,5,
0,0,val,32,134.77053833007812,,3,
0,0,val,32,119.28897857666016,,13,
0,0,val,32,128.69622802734375,,4,
0,0,val,32,124.27336120605469,,5,
0,0,val,32,138.97323608398438,,4,
0,0,val,32,134.62020874023438,,3,
0,0,val,32,137.51287841796875,,3,
0,0,val,32,134.81564331054688,,1,
0,0,val,32,133.66717529296875,,3,
0,0,val,32,151.09706115722656,,2,
0,0,val,32,125.1655502319336,,6,
0,0,val,32,120.09066009521484,,8,
0,0,val,32,123.80488586425781,,9,
0,0,val,32,129.1561279296875,,8,
0,0,val,32,129.4081268310547,,6,
0,0,val,32,117.67878723144531,,6,
0,0,val,32,140.990478515625,,2,
0,0,val,32,131.26907348632812,,5,
0,0,val,32,127.59938049316406,,7,
0,0,val,32,138.21388244628906,,6,
0,0,val,32,128.35360717773438,,6,
0,0,val,32,130.06591796875,,5,
0,0,val,32,128.3286895751953,,7,
0,0,val,32,132.13919067382812,,4,
0,0,val,32,126.63436889648438,,6,
0,0,val,32,144.14808654785156,,3,
0,0,val,32,151.62583923339844,,2,
0,0,val,32,124.87352752685547,,5,
0,0,val,32,144.83639526367188,,7,
0,0,val,32,131.57415771484375,,4,
0,0,val,32,138.5584259033203,,3,
0,0,val,32,140.50738525390625,,4,
0,0,val,32,132.19908142089844,,5,
0,0,val,32,120.920654296875,,6,
0,0,val,32,133.9376983642578,,4,
0,0,val,32,132.63121032714844,,4,
